Source_Name,Region,Asset_Type,trade_dt,Trade_Count
Source_1,Region_2,Asset_Type_3,2022-08-22,14
Source_4,Region_2,Asset_Type_1,2023-09-26,24
Source_5,Region_3,Asset_Type_1,2023-03-16,40
Source_9,Region_4,Asset_Type_3,2022-01-23,66
Source_7,Region_5,Asset_Type_1,2022-03-26,18
Source_8,Region_4,Asset_Type_1,2023-03-17,1
Source_4,Region_3,Asset_Type_3,2023-06-03,28
Source_7,Region_1,Asset_Type_2,2023-02-28,65
Source_6,Region_4,Asset_Type_2,2023-07-18,84
Source_6,Region_1,Asset_Type_2,2022-07-14,85
Source_4,Region_1,Asset_Type_1,2022-06-18,13
Source_4,Region_1,Asset_Type_1,2021-11-12,59
Source_5,Region_2,Asset_Type_2,2023-01-26,27
Source_1,Region_2,Asset_Type_1,2023-07-20,87
Source_6,Region_2,Asset_Type_2,2023-01-28,46
Source_1,Region_2,Asset_Type_2,2022-11-14,97
Source_10,Region_2,Asset_Type_3,2022-03-15,6
Source_5,Region_1,Asset_Type_3,2023-07-03,93
Source_5,Region_1,Asset_Type_2,2022-08-21,84
Source_1,Region_3,Asset_Type_3,2021-12-09,38
Source_10,Region_4,Asset_Type_1,2022-11-09,46
Source_3,Region_3,Asset_Type_3,2023-04-05,6
Source_3,Region_3,Asset_Type_2,2021-10-07,77
Source_7,Region_3,Asset_Type_1,2022-01-20,19
Source_5,Region_1,Asset_Type_3,2023-01-08,54
Source_3,Region_4,Asset_Type_1,2021-12-06,5
Source_5,Region_3,Asset_Type_1,2023-05-17,18
Source_1,Region_3,Asset_Type_2,2022-10-30,22
Source_8,Region_4,Asset_Type_1,2022-04-21,34
Source_8,Region_5,Asset_Type_2,2023-04-27,29
Source_4,Region_2,Asset_Type_2,2022-06-27,73
Source_10,Region_3,Asset_Type_3,2022-10-31,92
Source_4,Region_3,Asset_Type_3,2022-05-19,6
Source_9,Region_3,Asset_Type_1,2023-09-14,32
Source_3,Region_3,Asset_Type_1,2023-03-18,37
Source_1,Region_3,Asset_Type_3,2021-12-12,5
Source_9,Region_2,Asset_Type_3,2023-08-17,89
Source_8,Region_2,Asset_Type_1,2022-03-23,53
Source_9,Region_3,Asset_Type_1,2023-08-30,83
Source_5,Region_3,Asset_Type_3,2022-07-04,91
Source_3,Region_5,Asset_Type_2,2023-02-28,91
Source_1,Region_3,Asset_Type_2,2022-10-21,48
Source_3,Region_1,Asset_Type_3,2022-11-19,70
Source_10,Region_1,Asset_Type_2,2022-09-24,18
Source_4,Region_1,Asset_Type_3,2023-01-13,95
Source_6,Region_1,Asset_Type_3,2022-11-13,63
Source_9,Region_1,Asset_Type_1,2022-03-16,73
Source_4,Region_1,Asset_Type_3,2022-05-04,42
Source_7,Region_5,Asset_Type_2,2022-12-06,67
Source_9,Region_2,Asset_Type_3,2022-08-06,86
Source_1,Region_1,Asset_Type_2,2021-11-26,36
Source_7,Region_1,Asset_Type_3,2022-11-16,62
Source_10,Region_5,Asset_Type_2,2022-05-26,55
Source_9,Region_5,Asset_Type_1,2022-07-22,36
Source_9,Region_1,Asset_Type_1,2023-07-14,68
Source_8,Region_1,Asset_Type_2,2022-08-13,59
Source_1,Region_4,Asset_Type_1,2022-08-11,78
Source_3,Region_2,Asset_Type_3,2022-05-10,21
Source_9,Region_3,Asset_Type_3,2023-09-12,44
Source_3,Region_5,Asset_Type_1,2023-03-12,70
Source_5,Region_1,Asset_Type_2,2022-10-13,65
Source_3,Region_2,Asset_Type_2,2021-12-05,41
Source_10,Region_1,Asset_Type_3,2022-12-24,28
Source_8,Region_1,Asset_Type_1,2023-05-09,54
Source_5,Region_4,Asset_Type_1,2023-06-04,84
Source_4,Region_1,Asset_Type_2,2022-03-25,51
Source_6,Region_3,Asset_Type_1,2023-02-13,86
Source_5,Region_5,Asset_Type_1,2022-06-10,92
Source_3,Region_1,Asset_Type_3,2023-02-05,38
Source_4,Region_2,Asset_Type_3,2023-05-16,20
Source_10,Region_3,Asset_Type_2,2021-11-08,24
Source_6,Region_4,Asset_Type_1,2023-05-16,16
Source_9,Region_1,Asset_Type_1,2023-01-03,11
Source_5,Region_5,Asset_Type_3,2023-08-30,54
Source_7,Region_2,Asset_Type_3,2022-11-23,54
Source_9,Region_5,Asset_Type_3,2023-02-07,82
Source_6,Region_3,Asset_Type_2,2022-04-18,73
Source_2,Region_3,Asset_Type_2,2022-01-05,50
Source_6,Region_4,Asset_Type_3,2022-03-13,4
Source_10,Region_4,Asset_Type_3,2021-11-28,90
Source_8,Region_3,Asset_Type_1,2023-06-21,3
Source_4,Region_4,Asset_Type_2,2023-08-15,85
Source_1,Region_5,Asset_Type_1,2022-03-14,81
Source_5,Region_1,Asset_Type_3,2022-09-03,43
Source_4,Region_5,Asset_Type_1,2022-05-01,2
Source_7,Region_5,Asset_Type_2,2022-11-26,51
Source_7,Region_3,Asset_Type_3,2023-04-09,68
Source_3,Region_4,Asset_Type_3,2023-09-02,88
Source_1,Region_2,Asset_Type_1,2023-06-10,98
Source_4,Region_1,Asset_Type_2,2022-01-30,84
Source_9,Region_4,Asset_Type_3,2023-03-24,30
Source_4,Region_5,Asset_Type_1,2023-04-21,79
Source_3,Region_3,Asset_Type_1,2023-02-26,12
Source_2,Region_4,Asset_Type_3,2022-05-24,28
Source_7,Region_5,Asset_Type_1,2022-08-29,34
Source_1,Region_2,Asset_Type_2,2023-09-15,88
Source_1,Region_4,Asset_Type_3,2022-09-05,56
Source_10,Region_3,Asset_Type_2,2022-09-05,50
Source_3,Region_4,Asset_Type_1,2023-03-22,38
Source_2,Region_3,Asset_Type_3,2021-10-21,85
Source_4,Region_2,Asset_Type_3,2023-08-12,69
Source_6,Region_5,Asset_Type_1,2023-02-13,66
Source_2,Region_3,Asset_Type_2,2023-08-26,35
Source_4,Region_3,Asset_Type_3,2022-07-30,21
Source_9,Region_2,Asset_Type_3,2023-06-21,21
Source_2,Region_5,Asset_Type_3,2022-02-17,62
Source_6,Region_4,Asset_Type_3,2021-12-22,31
Source_5,Region_1,Asset_Type_1,2021-11-15,52
Source_6,Region_3,Asset_Type_2,2021-10-18,63
Source_9,Region_1,Asset_Type_1,2022-06-15,50
Source_8,Region_4,Asset_Type_1,2022-06-19,52
Source_4,Region_2,Asset_Type_3,2022-01-25,68
Source_8,Region_5,Asset_Type_1,2022-06-05,34
Source_9,Region_1,Asset_Type_1,2021-10-18,47
Source_1,Region_5,Asset_Type_3,2023-04-25,97
Source_2,Region_4,Asset_Type_3,2022-04-10,45
Source_9,Region_5,Asset_Type_1,2023-08-11,44
Source_5,Region_1,Asset_Type_1,2022-02-27,57
Source_4,Region_5,Asset_Type_1,2023-05-19,15
Source_9,Region_4,Asset_Type_1,2023-07-15,12
